,sum,sum,sum,sum,sum
,Shape_Area,Shape_Area,Shape_Area,Shape_Area,Shape_Area
COType,,HH,HL,LH,LL
RowLabel,,,,,
Artificial use | Building site,5777574.280177202,1180016.3611125422,2753.3007840741025,1941.566493417752,3401705.3802205166
Artificial use | Drainage,1194670.692104229,1055147.6522998984,1467.874828962138,2159.2609175844213,624283.4179247107
Artificial use | Embankment,27314.523494599354,36800.58038013288,0.0,0.0,17435.775343129644
Artificial use | Factory site,1219015.8784979996,71064.80022880297,0.0,0.0,1128338.8445239454
Artificial use | Gas station,35454.314113546534,4751.969585719047,0.0,0.0,27688.397157461033
Artificial use | Parking lot,31226.33744811375,6339.432925515638,0.0,0.0,39441.859119190594
Artificial use | Railroad site,136481.21098582773,0.0,0.0,0.0,44851.02217736413
Artificial use | Religious site,74426.63073618674,41044.591509196885,0.0,0.0,66492.00799524528
Artificial use | Road,3611921.532307381,933348.2898234827,4743.240583357559,3087.105713558818,2655936.188800186
Artificial use | Warehouse,80457.98916657505,72202.55486696961,0.0,0.0,88718.21649707896
Artificial use | Water supply site,13716.424876619156,7913.381751528321,0.0,0.0,3779.7943062210484
Mixed use | Fish farm,2596.978404714932,0.0,0.0,0.0,0.0
Mixed use | Historic site,0.0,795.6356068933047,0.0,0.0,0.0
Mixed use | Miscellaneous land,491306.9456303425,213728.33190380366,0.0,0.0,474062.4854401954
Mixed use | School site,696916.9214559284,157498.88003514713,352.94087568203093,0.0,359173.1671452028
Mixed use | Sports facility,53475.68513544941,16578.25720264545,0.0,0.0,68793.2896318985
Natural use | Cemetery,232646.28276643835,130297.75562618108,0.0,6646.106524123585,178254.32075403235
Natural use | Farmland,3259205.4248225004,1532787.3549854418,5402.389651959883,9410.347156504735,2465207.0843223887
Natural use | Forest,24982237.348757025,21837794.922338836,22077.08316308366,66376.48798983291,22403400.092162516
Natural use | Orchard,1184431.483365192,320048.13297887985,396.44862500071457,0.0,92149.04843425595
Natural use | Park area,197485.57644881395,2613.103798959259,0.0,0.0,302542.9977037938
Natural use | Ranch,142462.007839036,149277.157200825,0.0,1180.9814399989687,36001.486380873284
Natural use | Reservoir,278404.8818398432,172435.37391034444,0.0,0.0,173678.31131705834
Natural use | Rice paddy,9508220.935969811,7630452.72074007,21072.47735128745,41036.92375963386,6959956.368528846
Natural use | River,1573665.1568284484,1504984.1817669154,0.0,1500.665106048252,1050646.4727699372
